#     'r'     'cord11(r)'     'cord12(r)'     'cord22(r)'     cord21(r)
    1.5114     0.3200249    0.1631623     0.1676286    0.3263247
     1.521     0.3416718    0.1740886     0.1787185    0.3481772
    1.5306     0.3632962    0.1849364      0.190197    0.3698729
    1.5402     0.3846285    0.1959369     0.2017303    0.3918737
    1.5498     0.4063892    0.2070854     0.2130855    0.4141708
    1.5594     0.4282021    0.2181192     0.2242515    0.4362383
     1.569     0.4500108    0.2292209     0.2357073    0.4584418
    1.5786     0.4720807    0.2402801     0.2473294    0.4805602
    1.5882      0.493898    0.2509421     0.2586144    0.5018843
    1.5978      0.515415    0.2615434     0.2698849    0.5230868
    1.6074     0.5366143    0.2721709     0.2806965    0.5443418
     1.617     0.5575656    0.2825902     0.2913975    0.5651804
    1.6266     0.5781949    0.2927937     0.3022902    0.5855875
    1.6362     0.5983362    0.3031174     0.3128383    0.6062348
    1.6458     0.6184976    0.3134746     0.3228523    0.6269492
    1.6554     0.6381353    0.3235292     0.3328899    0.6470584
     1.665     0.6571355    0.3333018     0.3428784    0.6666036
    1.6746     0.6761346    0.3429449      0.352481    0.6858899
    1.6842     0.6948442    0.3524782      0.362153    0.7049564
    1.6938     0.7129978     0.361822     0.3717691    0.7236441
    1.7034     0.7309131    0.3708325      0.381104     0.741665
     1.713     0.7485135    0.3794801     0.3900872    0.7589601
    1.7226     0.7648884     0.387794     0.3987257     0.775588
    1.7322     0.7807569    0.3957769     0.4071174    0.7915538
    1.7418     0.7961658    0.4035241     0.4151934    0.8070481
    1.7514     0.8104091    0.4106829     0.4226066    0.8213658
     1.761     0.8234958    0.4172043     0.4290789    0.8344085
    1.7706     0.8354975    0.4234023     0.4350601    0.8468046
    1.7801     0.8465967    0.4291671     0.4408945    0.8583341
    1.7897      0.856971    0.4343203     0.4461682    0.8686406
    1.7993     0.8663559    0.4391065     0.4509417    0.8782131
    1.8089     0.8747672    0.4436418     0.4556615    0.8872836
    1.8185     0.8826381    0.4478149      0.460392    0.8956297
    1.8281     0.8900393    0.4517149      0.464689    0.9034298
    1.8377     0.8969934    0.4554012      0.468507    0.9108024
    1.8473     0.9037381    0.4588475      0.472104    0.9176949
    1.8569     0.9103246    0.4621653     0.4754271    0.9243306
    1.8665     0.9165417     0.465458     0.4785218    0.9309161
    1.8761     0.9226647    0.4686531     0.4816084    0.9373062
    1.8857     0.9288732    0.4717395      0.484919     0.943479
    1.8953     0.9350733    0.4748424     0.4879831    0.9496848
    1.9049     0.9413841    0.4780385     0.4908861    0.9560771
