#     'r'     'g11(r)'     'g12(r)'     'g22(r)'
    1.8857     0.9720583    0.9329025       1.07238
    1.8953     0.9412394    0.9788451     0.8220526
    1.9049     0.9866845     0.970604     0.9547625
    1.9145      0.960986    0.9940869     0.9642461
    1.9241      1.051216     1.051478      1.080264
    1.9337      1.059431      1.03487      1.131752
    1.9433      1.153995     1.140743      1.089816
    1.9529       1.17007     1.211074      1.260003
    1.9625      1.202851      1.26594      1.293997
    1.9721      1.249861      1.30876       1.29937
    1.9817      1.358953      1.34971      1.401287
    1.9913      1.395156     1.441918      1.430816
    2.0009      1.365861     1.442589       1.40938
    2.0105      1.388266      1.42264      1.323092
    2.0201      1.314908     1.446537      1.439706
    2.0297      1.351335     1.423047      1.384733
    2.0393      1.308878     1.373004      1.347502
    2.0488      1.350097     1.349593      1.347833
    2.0584      1.320647     1.392634      1.349928
     2.068      1.367214     1.423534      1.317495
    2.0776      1.314284     1.356735      1.431039
    2.0872      1.304447      1.37354      1.398341
    2.0968      1.306612     1.332451      1.419064
    2.1064      1.358381     1.340791      1.313584
     2.116      1.356023     1.324345      1.249767
    2.1256       1.34081     1.377372      1.344862
    2.1352      1.321149     1.381113         1.275
    2.1448      1.291272     1.275599      1.356282
    2.1544      1.348973     1.290885      1.329197
     2.164      1.263925     1.333064      1.368742
    2.1736      1.303556     1.364232      1.302546
    2.1832      1.301861     1.366039      1.328521
    2.1928      1.255896     1.292668      1.376558
    2.2024       1.30519     1.392493      1.275107
     2.212      1.339352     1.330712      1.384454
    2.2216      1.290574     1.349757      1.322267
    2.2312      1.269394     1.314123      1.357624
    2.2408      1.273568     1.324811      1.372262
    2.2504      1.278771     1.346708       1.47996
      2.26      1.325878     1.345503      1.355123
    2.2696      1.289154     1.351767      1.244378
    2.2792      1.313323         1.33      1.432363
    2.2888      1.294209     1.388537      1.350838
    2.2984      1.245342     1.350647      1.439352
     2.308      1.283304     1.268026      1.433228
    2.3176      1.313033     1.311113      1.432927
    2.3271       1.27901     1.319219      1.336696
    2.3367      1.364171     1.327855      1.405227
    2.3463      1.247982     1.321224      1.393756
    2.3559      1.272337     1.351533      1.309812
    2.3655      1.267911      1.34473      1.415553
