#     'r'     'cord11(r)'     'cord12(r)'     'cord22(r)'     cord21(r)
    1.5594      0.935811      0.47443     0.4764993    0.9488599
     1.569     0.9693386     0.491833      0.492953    0.9836661
    1.5786     0.9985611    0.5069814     0.5071037     1.013963
    1.5882      1.023594    0.5195495     0.5188845     1.039099
    1.5978      1.044624     0.530292     0.5285998     1.060584
    1.6074      1.061866     0.539629      0.537165     1.079258
     1.617      1.076154    0.5475625     0.5447939     1.095125
    1.6266      1.088845    0.5541318     0.5506329     1.108264
    1.6362      1.099921    0.5595098       0.55547      1.11902
    1.6458      1.109457    0.5641679     0.5605841     1.128336
    1.6554      1.118024    0.5683572     0.5651862     1.136714
     1.665      1.125376     0.571889     0.5686453     1.143778
    1.6746      1.131774    0.5750261     0.5714596     1.150052
    1.6842      1.137481    0.5778677     0.5740484     1.155735
    1.6938      1.142575    0.5803837     0.5764792     1.160767
    1.7034      1.147463    0.5827472     0.5788877     1.165494
     1.713      1.151817    0.5849453     0.5812725     1.169891
    1.7226      1.155797    0.5868326     0.5833034     1.173665
    1.7322      1.159434    0.5884788     0.5850905     1.176958
    1.7418      1.162497    0.5900464     0.5868041     1.180093
    1.7514      1.165384    0.5915108     0.5885064     1.183022
     1.761      1.167988    0.5928493     0.5900208     1.185699
    1.7706      1.170403    0.5940573     0.5912739     1.188115
    1.7801      1.172557    0.5952398     0.5923803      1.19048
    1.7897      1.174558    0.5963103     0.5932617     1.192621
    1.7993      1.176508    0.5972113     0.5942713     1.194423
    1.8089      1.178252    0.5981473     0.5951958     1.196295
    1.8185      1.180125    0.5990486     0.5959147     1.198097
    1.8281      1.181975    0.5998951       0.59683      1.19979
    1.8377      1.183525    0.6007128     0.5979173     1.201426
    1.8473      1.185164    0.6015302      0.598946      1.20306
    1.8569      1.186884    0.6024019     0.5999768     1.204804
    1.8665      1.188524    0.6032799     0.6010054      1.20656
    1.8761      1.190215    0.6041428     0.6019906     1.208286
    1.8857      1.192045     0.604963     0.6030327     1.209926
    1.8953      1.193974     0.605774     0.6039451     1.211548
    1.9049      1.195935     0.606744     0.6047763     1.213488
    1.9145      1.198004    0.6078008     0.6057821     1.215602
    1.9241      1.200211    0.6088213     0.6070232     1.217643
    1.9337      1.202503    0.6099134     0.6082964     1.219827
    1.9433      1.204967    0.6111963     0.6095064     1.222393
    1.9529      1.207784    0.6127158     0.6109742     1.225432
    1.9625      1.211227    0.6144684      0.613024     1.228937
    1.9721      1.215551    0.6165274     0.6153837     1.233055
    1.9817      1.221056    0.6194002     0.6182073       1.2388
    1.9913      1.228313    0.6231416     0.6218971     1.246283
    2.0009      1.236815    0.6273579     0.6259918     1.254716
    2.0105      1.245417     0.631912     0.6303829     1.263824
    2.0201      1.254068    0.6363972      0.634951     1.272794
    2.0297      1.262833    0.6405665     0.6393085     1.281133
    2.0393      1.271639    0.6445398     0.6436824      1.28908
    2.0488      1.280358    0.6487932     0.6481477     1.297586
    2.0584      1.288783    0.6531473     0.6524628     1.306295
     2.068      1.297314     0.657444     0.6567519     1.314888
    2.0776      1.306202     0.661962     0.6614327     1.323924
    2.0872      1.315275    0.6665726     0.6659762     1.333145
    2.0968      1.324176    0.6711521     0.6701949     1.342304
    2.1064      1.332819    0.6755222     0.6742049     1.351044
     2.116      1.341781     0.679796     0.6783829     1.359592
    2.1256      1.350529    0.6840567     0.6827882     1.368113
    2.1352      1.359069    0.6882219     0.6872365     1.376444
    2.1448      1.368215    0.6926654     0.6915582     1.385331
    2.1544      1.377653    0.6973141      0.695869     1.394628
     2.164      1.386706    0.7018995     0.7002425     1.403799
    2.1736      1.395681    0.7064094      0.704679     1.412819
    2.1832      1.404372    0.7110252     0.7094365      1.42205
    2.1928      1.412985    0.7158182     0.7137673     1.431636
    2.2024       1.42224    0.7204936     0.7183638     1.440987
     2.212      1.431348    0.7251527     0.7230767     1.450305
    2.2216      1.440302    0.7297029     0.7274088     1.459406
    2.2312      1.449201    0.7342831     0.7320623     1.468566
    2.2408      1.458239    0.7389239     0.7368117     1.477848
    2.2504      1.467471    0.7435427     0.7414414     1.487085
      2.26      1.476837    0.7483285     0.7461581     1.496657
    2.2696      1.486477     0.753325     0.7508055      1.50665
    2.2792      1.496336    0.7582291     0.7555213     1.516458
    2.2888      1.506146    0.7629306     0.7603364     1.525861
    2.2984      1.515776    0.7678815     0.7649724     1.535763
     2.308      1.526022    0.7730267     0.7699182     1.546053
    2.3176      1.536888     0.778141     0.7749784     1.556282
    2.3271      1.547792    0.7834574     0.7798864     1.566915
    2.3367      1.558805    0.7889399     0.7848962      1.57788
    2.3463       1.56995    0.7946495     0.7898221     1.589299
    2.3559      1.580766    0.8004368     0.7950993     1.600874
    2.3655      1.591974    0.8061092     0.8007041     1.612218
    2.3751      1.604081    0.8116695     0.8062103     1.623339
    2.3847      1.615973    0.8172525     0.8117826     1.634505
    2.3943      1.627493    0.8232519     0.8176724     1.646504
    2.4039      1.639435    0.8293199     0.8238081      1.65864
    2.4135      1.652046    0.8356715     0.8295635     1.671343
    2.4231      1.664776    0.8422312     0.8350579     1.684462
    2.4327      1.677805    0.8487845     0.8407168     1.697569
    2.4423      1.691127    0.8554526     0.8464387     1.710905
    2.4519      1.705236    0.8622225     0.8526973     1.724445
    2.4615       1.72007    0.8692884     0.8594897     1.738577
    2.4711      1.734464    0.8765291     0.8663551     1.753058
    2.4807      1.748976     0.883914     0.8735311     1.767828
    2.4903      1.763878    0.8916703     0.8805483     1.783341
    2.4999       1.77919    0.8996641     0.8875205     1.799328
    2.5095      1.795045    0.9078288     0.8952551     1.815658
    2.5191      1.811362    0.9162495     0.9036896     1.832499
    2.5287      1.827769    0.9248888     0.9120912     1.849778
    2.5383      1.844783    0.9338901     0.9203612      1.86778
    2.5479       1.86263    0.9431084       0.92873     1.886217
    2.5575      1.880654    0.9525649     0.9373523      1.90513
    2.5671      1.899145    0.9622663     0.9463917     1.924533
    2.5767      1.918183    0.9721205     0.9553511     1.944241
    2.5863      1.937771    0.9825491     0.9650063     1.965098
    2.5958      1.957866     0.993328     0.9755945     1.986656
    2.6054      1.978097     1.003893      0.986305     2.007786
     2.615      1.999279     1.014741     0.9966635     2.029482
    2.6246      2.021581     1.026578      1.007026     2.053155
    2.6342      2.044292     1.039011      1.018112     2.078022
    2.6438      2.068403      1.05163      1.029786      2.10326
    2.6534      2.093247     1.064431      1.041705     2.128862
     2.663      2.117619      1.07737      1.053673      2.15474
    2.6726      2.142226     1.090718      1.065896     2.181436
    2.6822      2.168449     1.104386       1.07815     2.208771
    2.6918      2.194967     1.118176      1.090937     2.236353
    2.7014      2.220983     1.132477      1.105195     2.264955
     2.711      2.248297     1.147432        1.1202     2.294864
    2.7206      2.277105     1.162427      1.135696     2.324854
    2.7302      2.306842     1.177801      1.151171     2.355601
    2.7398      2.336225     1.193671      1.165642     2.387342
    2.7494       2.36644     1.209847      1.180186     2.419694
     2.759      2.398166     1.225823      1.195531     2.451646
    2.7686      2.429424     1.241767      1.212233     2.483534
    2.7782      2.460804     1.258313      1.228514     2.516626
    2.7878      2.493363     1.275682      1.244411     2.551365
    2.7974      2.525036     1.293435      1.261092      2.58687
     2.807      2.556277     1.311042      1.277656     2.622085
    2.8166      2.588409     1.328386      1.293862     2.656772
    2.8262       2.62089     1.345357      1.310168     2.690715
    2.8358      2.653502     1.362266      1.326893     2.724533
    2.8454      2.686811     1.379443      1.343065     2.758886
     2.855      2.720522     1.397018      1.359643     2.794037
    2.8646      2.753877     1.414074      1.376768     2.828148
    2.8741      2.786836     1.430905      1.392899      2.86181
    2.8837      2.819687     1.448012      1.407996     2.896023
    2.8933      2.852483     1.465008      1.423563     2.930017
    2.9029      2.884183      1.48159      1.439603      2.96318
    2.9125      2.915801     1.497877      1.455133     2.995753
    2.9221      2.947726     1.514033      1.470828     3.028067
    2.9317      2.979035     1.530063       1.48623     3.060127
    2.9413      3.009121     1.545829      1.500627     3.091659
    2.9509       3.03819     1.561237      1.515356     3.122474
    2.9605      3.066915     1.576489      1.529817     3.152979
    2.9701      3.095207     1.591411      1.543822     3.182822
    2.9797      3.122469     1.605652      1.557416     3.211305
    2.9893      3.148926      1.61933      1.570269      3.23866
