#     'r'     'g11(r)'     'g12(r)'     'g22(r)'
    1.8857     0.4392266    0.3534966     0.4601011
    1.8953     0.4395591    0.3840457     0.3726439
    1.9049      0.444584    0.4893716     0.3783577
    1.9145     0.4790885    0.4525942     0.5212823
    1.9241     0.4966878    0.4480908     0.5779033
    1.9337     0.5062789    0.5061623     0.5385238
    1.9433     0.5617786    0.6038259     0.5120107
    1.9529     0.6468616    0.6980553     0.7499867
    1.9625     0.8162574    0.7889371     0.9951776
    1.9721      1.003625    0.9410511     0.9943412
    1.9817      1.290579     1.449472      1.363478
    1.9913      1.705187     1.633936       1.68796
    2.0009      1.770888     1.807684      1.666092
    2.0105      1.712344     1.874385      1.896484
    2.0201      1.757689     1.717616      1.774769
    2.0297      1.725165     1.590015      1.694149
    2.0393      1.741237     1.532589      1.755275
    2.0488      1.658985     1.779006       1.73342
    2.0584      1.595709     1.579485      1.606589
     2.068      1.669728     1.704151      1.682669
    2.0776      1.701303     1.716839      1.873899
    2.0872      1.707979     1.742306      1.546818
    2.0968      1.606658     1.662214      1.600349
    2.1064      1.582399     1.557168      1.364046
     2.116      1.694341      1.56281      1.696654
    2.1256      1.475591     1.519712      1.501584
    2.1352       1.59137     1.466695      1.698913
    2.1448      1.664058      1.69091      1.382809
    2.1544       1.66526      1.58315      1.663848
     2.164      1.499922     1.617834      1.399923
    2.1736      1.610599     1.502828      1.680605
    2.1832      1.375421     1.663069      1.593851
    2.1928      1.557588     1.595786      1.361025
    2.2024      1.567001     1.555466      1.747815
     2.212      1.481073     1.557728      1.412335
    2.2216      1.489711     1.456515      1.467386
    2.2312      1.437921     1.551656       1.59958
    2.2408      1.509793     1.470273      1.503879
    2.2504      1.475519     1.511793      1.495598
      2.26      1.527863     1.551998      1.534445
    2.2696      1.537143     1.619692      1.425986
    2.2792      1.570947     1.467257      1.552761
    2.2888      1.496209     1.467494      1.463325
    2.2984      1.489686     1.597176      1.416476
     2.308      1.660649     1.561447       1.63025
    2.3176      1.652773     1.552257      1.461277
    2.3271      1.644969     1.657903      1.512628
    2.3367      1.658677     1.625522      1.498134
    2.3463      1.657066     1.766022      1.438106
    2.3559       1.53505     1.643822      1.682015
    2.3655      1.745605     1.671262      1.605013
    2.3751      1.769995     1.552183      1.598153
    2.3847      1.655362     1.658502      1.617506
    2.3943      1.636142     1.764065      1.754246
    2.4039        1.7491     1.670104      1.730369
    2.4135       1.79747     1.896129      1.512368
    2.4231      1.754083     1.757834       1.55887
    2.4327      1.852687     1.863919      1.579461
    2.4423      1.806084     1.792436      1.568991
    2.4519      2.038472     1.890799      1.847907
    2.4615      1.972655     1.923599      1.831638
    2.4711      1.889094     1.954899       1.85866
    2.4807      1.974264     1.970373      1.968872
    2.4903      1.962761     2.120679      1.745256
    2.4999      2.051435      2.06338      1.916787
    2.5095      2.073407      2.17753      2.114717
    2.5191      2.139532     2.163217      2.248281
    2.5287      2.064379     2.256488      2.064844
    2.5383      2.262409     2.313782      2.148705
    2.5479       2.24232     2.331512      2.083201
    2.5575      2.272671     2.398155      2.244269
    2.5671      2.325037     2.417889      2.258772
    2.5767      2.373551     2.437693      2.171324
    2.5863      2.425125     2.662963      2.567473
    2.5958      2.461465     2.570132      2.590972
    2.6054      2.421915     2.521422      2.588775
     2.615      2.653858     2.668424      2.384101
    2.6246      2.651066     2.953066      2.554374
    2.6342      2.712023     2.908998       2.69078
    2.6438      2.940734     2.997612      2.792406
    2.6534      2.841638     2.950869      2.765745
     2.663      2.790192     3.018465      2.774887
    2.6726      2.855335     3.095791      2.843091
    2.6822      3.117918     3.120033      2.749629
    2.6918      2.879782     3.107267      3.044276
    2.7014      2.962652     3.304739      3.370734
     2.711      3.127806     3.353131      3.332902
    2.7206      3.250826     3.275605      3.541292
    2.7302      3.287387     3.472875      3.275463
    2.7398      3.127843     3.445172      3.054417
    2.7494      3.423337     3.556909       3.26319
     2.759      3.407441     3.310907      3.356262
    2.7686      3.276205     3.495493      3.798735
    2.7782      3.387529     3.519395      3.127722
    2.7878      3.478874     3.794115      3.589089
    2.7974      3.155115     3.629714       3.41099
     2.807      3.343764     3.683078      3.492257
    2.8166      3.295103     3.471188      3.216114
    2.8262      3.370357      3.48227      3.487958
    2.8358      3.276926     3.398839      3.342034
