  -81666372983891.328       -44318959518681.125       -5546227649705.0049        645411925960.32739     
   99364603.174572483       -99482773.393660054        118303422.52556039        106540973.15554854       -153478050.35867032        34057814.287752658       -11567196.934471890     
   71901339.445904925       -72758138.089043573        87618918.193845958        74582220.598460749       -111525960.76107961        25525418.718204141       -8886412.9599071275     
   52425178.134850807       -53603785.262651190        65339814.128155805        52828602.283034913       -81824240.324263319        19260317.601464223       -6856852.7981062783     
   38516083.598521113       -39777994.160082735        49052353.496497236        37828700.327615850       -60568602.795081578        14625782.677503271       -5313429.5847763000     
   28508831.888151430       -29725840.212083776        37062900.602068670        27361485.461459227       -45205135.659602277        11173230.097990612       -4134440.0966474456     
   21254394.892035209       -22364255.820784874        28177109.052137855        19976062.949384037       -33997294.531046189        8583948.7290718555       -3229819.0388732385     
   15956035.553027252       -16934604.821326692        21547737.158689294        14711322.530865664       -25750223.697557215        6629686.8577001076       -2532655.8998694038     
   12057895.746382857       -12902086.118164087        16569924.617794592        10922292.372836646       -19632667.414125971        5145737.4890746931       -1993045.8442238190     
   9169515.0827010795       -9887112.8674059045        12808998.287842683        8170894.2353791827       -15060351.716664765        4012391.8555077040       -1573617.7938723685     
   7014645.4617640888       -7618378.8183249887        9950512.6297846232        6156207.0162402764       -11618643.452356029        3142049.4969104235       -1246271.7764113001     
   5396418.5329959085       -5900613.5729444614        7765501.4282998173        4669339.9202090669       -9010644.3606626000        2470186.7035070760       -989790.80933727638     
   4173519.9410074730       -4592304.9257558342        6086168.6841322100        3563855.2303415793       -7021964.7777296752        1948979.4275698275       -788087.01499629603     
   3243792.6530308775       -3590210.4630236523        4788776.5666207001        2736148.7041318412       -5496565.4034723081        1542767.3624665756       -628909.14710712770     
   2532877.4156906931       -2818517.7613646379        3781522.2146228612        2112287.3578180424       -4320025.7311246460        1224805.0985070965       -502886.82014628686     
   1986288.0719825712       -2221206.2718085274        2995893.5812677052        1639084.8125689570       -3407848.3787552374        974919.75616640982       -402821.26387805887     
   1563843.8927443258       -1756628.6290203449        2380466.6498476118        1277988.7453088504       -2697212.3061640635        777811.60492968827       -323157.18937734154     
   1235730.3515584583       -1393640.6411784755        1896426.9607706624        1000854.4613211515       -2141110.2942532408        621813.87647208071       -259588.16102095376     
   979692.68979127379       -1108819.3566859250        1514316.7356111684        786996.27795841824       -1704149.3922804184        497982.64761497354       -208760.71493847520     
   779023.11770262336       -884450.66622800508        1211658.6850452996        621112.92494175106       -1359521.0255851306        399425.41791366704       -168051.75567187209     
   621107.82648708264       -707064.82168854284        971210.76124284463        491816.25962274510       -1086800.2937824694        320803.29550059559       -135400.49728323944     
   496371.62831526977       -566364.59269521281        779677.65230486321        390580.04659632593       -870337.46647277800        257960.12456993241       -109181.12859551184     
   397506.89957664913       -454436.51974980516        626754.77423221141        310983.63321984478       -698075.35645838070        207644.89100324234       -88105.965940807437     
   318907.09099003905       -365167.50521980674        504415.58297002024        248164.27770745114       -560674.93324486737        167302.98001498988       -71151.495279064795     
   256248.34052958895       -293811.17372387811        406377.80691182968        198418.19317766160       -450865.36323792743        134918.47350317461       -57501.639126628164     
   206178.93108745967       -236664.03071386713        327701.84548581176        158908.31909652840       -362958.35293250915        108894.42857988868       -46504.026356164672     
   166087.69273036791       -190822.51070160442        264487.20488166978        127449.17570037325       -292483.38836545357        87961.527894695027       -37636.102009123766     
   133930.48943972899       -153999.88067207902        213641.93894353928        102347.71813974548       -235912.34791117490        71108.001150118434       -30478.710710913947     
   108099.63617676753       -124387.61669059926        172706.65284099875        82285.082362001660       -190450.48069728099        57525.553507725839       -24695.378125414954     
   87325.181722489622       -100549.94622348686        139719.44132419708        66228.337058899240       -153876.87111005114        46567.390926100787       -20015.956288691141     
   70599.931605631704       -81343.220678448735        113111.64353433433        53364.338098284890       -124421.96416560195        37715.425555312744       -16223.631044378006     
   57122.228929780998       -65853.935832594449        91626.897112175109        43049.928832226731       -100672.96252308467        30554.486949867100       -13144.536431585144     
   46252.057469944222       -53350.815885448101        74257.879122742277        34774.261533704281       -81500.287209854854        24751.909682231508       -10639.406789903023     
   37477.181041720280       -43247.539055432426        60196.547919716577        28130.138069275930       -66000.036729995787        20041.277224690915       -8596.8352548170824     
   30386.865965896137       -35073.556990524005        48794.746581297404        22792.076824278938       -53448.671218008669        16209.403288549041       -6927.8106407250380     
   24651.361456204013       -28451.097219027823        39532.817047705372        18499.413245976302       -43267.099578098598        13085.857339916949       -5561.2814330085093     
   20005.768773221305       -23076.921014226660        31994.453291622081        15043.178956268366       -34992.054287806277        10534.507694771537       -4440.5519949199715     
   16237.277067429424       -18707.761990278035        25846.457239584110        12255.830468555334       -28253.160924520824        8446.6791305110874       -3520.3589057800004     
   13174.996708881130       -15148.637839261128        20822.381973823405        10003.138589891287       -22754.497070423287        6735.6140091337220       -2764.5059109451395     
   10681.812964410599       -12243.423954785014        16709.286177272290        8177.7285987612358       -18259.722087937804        5331.9932471395314       -2143.9596894304145     
   8647.8239577691165       -9867.2250183755787        13337.000022934668        6693.8930309117795       -14580.071438598614        4180.3242091408820       -1635.3260498223665     
   6985.0330413556367       -7920.1885915008470        10569.434280631673        5483.3966827855356       -11564.666634221045        3236.0400575642666       -1219.6396016470346     
   5623.0433503684790       -6322.4859985289850        8297.5613261168819        4492.0650995604628       -9092.7085047595974        2463.1836246422208       -881.41061466317603     
   4505.5610987432974       -5010.2449107620132        6433.7694801432544        3677.0001151090369       -7067.2087945923295        1832.5706217655677       -607.88125497609690     
   3587.5566179548182       -3932.2625079049931        4907.3469351464373        3004.3042647720408       -5409.9804645485683        1320.3442958935002       -388.45069147675952     
   2832.9642054459277       -3047.3611423015013        3660.8932610340253        2447.2228634366652       -4057.6575515178952        906.84748645958041       -214.23463148930375     
   2212.8254877592967       -2322.2730946113466        2647.4898917793416        1984.6325553668510       -2958.5543244102032        575.74968738359235       -77.730360357280873     
   1703.7984648706033       -1729.9605920030178        1828.4871273092369        1599.8187573736143       -2070.2050191194271        313.37655063830397        27.436827842718586     
   1286.9682498985442       -1248.2918826875805        1171.7877730543078        1279.4948898596369       -1357.4509244830176        108.19792846847002        106.70556514285718     
   946.90553443557212       -859.00688306455390        650.52598319070319        1013.0234460508761       -790.96330663638503       -49.561850193999796        164.72464092743755     
   670.92761415382245       -546.91574063616451        242.05660709949123        791.80476040183248       -346.10919019846091       -168.22110471860961        205.46606167486158     
   448.52332487096095       -299.28274540260315       -72.815346149533781        608.80384649129394       -2.0831025300458443       -254.86905109866467        232.31454831693878     
