   1.7824920379203350E+017  -37591612526780536.       -42982371403892544.        1496498237859726.2     
  -37591612526780456.        72899905437907664.       -1180354552040762.5       -12879091452855086.        1041639703933211.4     
  -42982371403892552.       -1180354552040741.0        21948844199663420.       -1057918143697321.6       -3858912667733229.5        311935599797205.75     
   336577.81365049409       -1873814.6637920518       -571578.47649275488        3400955.5802581678       -529678.41156349576       -1608971.8041865318        267817.96187606436     
   311664.75128578808       -1735721.2778913099       -529678.41156349820        3152640.9863412101       -491201.96930953430       -1492540.2638281872        248529.35749605429     
   288807.02716883743       -1608971.8041865362       -491201.96930953959        2924536.9277231684       -455841.16311435943       -1385501.8290352460        230789.51964931068     
   267817.96187607036       -1492540.2638281924       -455841.16311435984        2714832.1933681974       -423318.20762614365       -1287022.0415576729        214461.50673848810     
   248529.35749605289       -1385501.8290352440       -423318.20762613742        2521892.5207501044       -393382.31687979499       -1196347.2646502645        199421.57849608787     
   230789.51964930352       -1287022.0415576743       -393382.31687978929        2344241.9045552956       -365806.86681470828       -1112796.2184973694        185557.81978670700     
   214461.50673848909       -1196347.2646502631       -365806.86681470618        2180546.0248562582       -340386.87836458790       -1035752.4674257685        172768.91869730013     
   199421.57849608903       -1112796.2184973711       -340386.87836459116        2029597.5400927546       -316936.78200688201       -964657.74548479565        160963.08017439683     
   185557.81978670324       -1035752.4674257733       -316936.78200687654        1890303.0183716922       -295288.42968882690       -899006.01939068025        150057.05868871137     
   172768.91869730686       -964657.74548479728       -295288.42968883202        1761671.3136830886       -275289.32615758071       -838338.20216116926        139975.29720798868     
   160963.08017439223       -899006.01939067617       -275289.32615758688        1642803.2167379770       -256801.05297528554       -782237.44220511406        130649.15910824051     
   150057.05868871455       -838338.20216116821       -256801.05297528734        1532882.2298435483       -239697.86278358274       -730324.91964814777        122016.24232010500     
   139975.29720799488       -782237.44220511441       -239697.86278358742        1431166.3370034974       -223865.42466074359       -682256.09245009837        114019.76661782285     
   130649.15910823815       -730324.91964814498       -223865.42466074199        1336980.6529117676       -209199.70248202476       -637717.34040413692        106608.02566779802     
   122016.24232010424       -682256.09245009883       -209199.70248201926        1249710.8522849511       -195605.95235491000       -596422.96249004768        99733.896516155190     
   114019.76661782140       -637717.34040413611       -195605.95235490912        1168797.2896862761       -182997.82447639367       -558112.48736683012        93354.399932104046     
   106608.02566779728       -596422.96249004779       -182997.82447639108        1093729.7332228748       -171296.55813041725       -522548.26233332837        87430.305754450412     
   99733.896516154360       -558112.48736683384       -171296.55813041466        1024042.6427983033       -160430.26022472951       -489513.28965259792        81925.779462439925     
   93354.399932104454       -522548.26233332988       -160430.26022472794        959310.93404183071       -150333.25726926886       -458809.28397644451        76808.063793786016     
   87430.305754447429       -489513.28965259780       -150333.25726926723        899146.17326243548       -140945.51270821309       -430254.92562405975        72047.192640959867     
   81925.779462437757       -458809.28397644300       -140945.51270821123        843193.15682583733       -132212.10343995245       -403684.28920563165        67615.733811538506     
