   241294236696100.19       -406197617978216.50        253130513241361.78       -103223919785357.47     
  -126445834876.52150        128449338342.28157       -125694114952.55659        112985346225.01529       -90502649936.970963        65177657300.287071       -43323289835.786346     
  -86696873169.510635        90635972172.322983       -90502649936.719635        82342008154.962540       -66283267000.694008        47683194021.955597       -31481136196.594837     
  -60692125415.511101        65177657300.406479       -66283267000.984772        60959659403.515160       -49287705615.544525        35423668130.374283       -23244903732.989944     
  -43323289836.292259        47683194022.508392       -49287705615.766708        45760573287.566650       -37143205001.813454        26674206864.456341       -17408335684.706379     
  -31481136197.529221        35423668131.027710       -37143205002.261604        34771365475.204361       -28320267280.811352        20324644895.150024       -13200343378.961065     
  -23244903733.814297        26674206865.114487       -28320267281.064079        26702973563.345104       -21814283735.946579        15646906098.499241       -10118784140.778502     
  -17408335685.426510        20324644895.543854       -21814283736.118816        20697295141.753788       -16952815228.510727        12154366193.766703       -7830422272.7062616     
  -13200343379.357683        15646906098.715929       -16952815228.576948        16172353564.963146       -13277347183.071171        9515673600.4206200       -6109936598.4274368     
  -10118784140.958107        12154366193.782183       -13277347183.007263        12726289904.299253       -10469645210.023209        7501147595.3768682       -4802193428.6676722     
  -7830422272.7648230        9515673600.3885460       -10469645210.040531        10076882506.855808       -8305142069.0743999        5948897912.4344072       -3798541473.2338462     
  -6109936598.4901609        7501147595.4841499       -8305142069.1666775        8022803887.2137690       -6622929301.0330086        4743044037.3653641       -3021667588.2097559     
  -4802193428.8257647        5948897912.5714588       -6622929301.0764151        6418369751.0471287       -5306100023.6886168        3799467767.6770649       -2415754125.1068215     
  -3798541473.4087100        4743044037.4508600       -5306100023.7283945        5156792962.7747049       -4268646967.3368926        3056330206.1165247       -1939970177.8212726     
  -3021667588.3302803        3799467767.7610722       -4268646967.3879070        4158886602.3721356       -3446580647.9190326        2467651861.9394460       -1564093383.2537532     
  -2415754125.2039289        3056330206.1891675       -3446580647.9483447        3365316977.4125257       -2791810270.9748249        1998895285.7420433       -1265515971.4062583     
  -1939970177.9036899        2467651861.9866767       -2791810270.9940228        2731208359.6900239       -2267863688.0532560        1623878893.9150622       -1027165241.5741793     
