#     'r'     'cord11(r)'     'cord12(r)'     'cord22(r)'     cord21(r)
    1.9529             0     2.023289             0     4.046577
    1.9625             0     2.024035             0     4.048071
    1.9721             0     2.024709             0     4.049418
    1.9817             0     2.025246             0     4.050491
    1.9913             0     2.025641             0     4.051281
    2.0009             0     2.025862             0     4.051723
    2.0105             0     2.026077             0     4.052154
    2.0201             0     2.026309             0     4.052617
    2.0297             0     2.026519             0     4.053038
    2.0393             0      2.02674             0     4.053479
    2.0488             0     2.026981             0     4.053963
    2.0584             0     2.027197             0     4.054394
     2.068             0     2.027381             0     4.054762
    2.0776             0     2.027529             0     4.055057
    2.0872             0     2.027607             0     4.055215
    2.0968             0     2.027644             0     4.055289
    2.1064             0      2.02766             0      4.05532
     2.116             0     2.027676             0     4.055352
    2.1256             0     2.027686             0     4.055373
    2.1352             0     2.027697             0     4.055394
    2.1448             0     2.027707             0     4.055415
    2.1544             0     2.027713             0     4.055425
     2.164             0     2.027713             0     4.055425
    2.1736             0     2.027713             0     4.055425
    2.1832             0     2.027713             0     4.055425
    2.1928             0     2.027713             0     4.055425
    2.2024             0     2.027713             0     4.055425
     2.212             0     2.027713             0     4.055425
    2.2216             0     2.027713             0     4.055425
    2.2312             0     2.027713             0     4.055425
    2.2408             0     2.027713             0     4.055425
    2.2504             0     2.027713             0     4.055425
      2.26             0     2.027713             0     4.055425
    2.2696             0     2.027713             0     4.055425
    2.2792             0     2.027713             0     4.055425
    2.2888             0     2.027713             0     4.055425
    2.2984             0     2.027713             0     4.055425
     2.308             0     2.027713             0     4.055425
    2.3176             0     2.027713             0     4.055425
    2.3271             0     2.027713             0     4.055425
    2.3367             0     2.027713             0     4.055425
    2.3463             0     2.027713             0     4.055425
    2.3559             0     2.027713             0     4.055425
    2.3655             0     2.027713             0     4.055425
    2.3751             0     2.027713             0     4.055425
    2.3847             0     2.027713             0     4.055425
    2.3943             0     2.027713             0     4.055425
    2.4039             0     2.027713             0     4.055425
    2.4135             0     2.027713             0     4.055425
    2.4231             0     2.027713             0     4.055425
    2.4327             0     2.027713             0     4.055425
    2.4423             0     2.027713             0     4.055425
    2.4519             0     2.027713             0     4.055425
    2.4615             0     2.027713             0     4.055425
    2.4711             0     2.027713             0     4.055425
    2.4807             0     2.027713             0     4.055425
    2.4903             0     2.027713             0     4.055425
    2.4999             0     2.027713             0     4.055425
    2.5095  0.0003136958     2.027713             0     4.055425
    2.5191   0.002836086     2.027713             0     4.055425
    2.5287   0.009534454     2.027713             0     4.055425
    2.5383    0.02209486     2.027713             0     4.055425
    2.5479    0.04780424     2.027713             0     4.055425
    2.5575    0.09964087     2.027713             0     4.055425
    2.5671     0.1817231     2.027713             0     4.055425
    2.5767     0.3130041     2.027713             0     4.055425
    2.5863     0.5312739     2.027713             0     4.055425
    2.5958     0.8572629     2.027713             0     4.055425
    2.6054      1.284645     2.027713             0     4.055425
     2.615      1.792567     2.027713             0     4.055425
    2.6246      2.349508     2.027713             0     4.055425
    2.6342      2.930714     2.027713             0     4.055425
    2.6438      3.488472     2.027713             0     4.055425
    2.6534       3.95866     2.027713             0     4.055425
     2.663      4.349553     2.027713             0     4.055425
    2.6726      4.656595     2.027713             0     4.055425
    2.6822      4.864476     2.027713             0     4.055425
    2.6918      5.001054     2.027713             0     4.055425
    2.7014      5.081121     2.027713             0     4.055425
     2.711      5.124432     2.027713             0     4.055425
    2.7206      5.150243     2.027713             0     4.055425
    2.7302      5.166072     2.027713             0     4.055425
    2.7398      5.179801     2.027713             0     4.055425
    2.7494      5.198573     2.027713             0     4.055425
     2.759      5.226009     2.027713             0     4.055425
    2.7686      5.262202     2.027713             0     4.055425
    2.7782      5.306881     2.027713             0     4.055425
    2.7878      5.360661     2.027713             0     4.055425
    2.7974      5.422198     2.027713             0     4.055425
     2.807      5.484797     2.027713             0     4.055425
    2.8166      5.543799     2.027713             0     4.055425
    2.8262      5.600235     2.027713             0     4.055425
    2.8358      5.657617     2.027713             0     4.055425
    2.8454      5.715552     2.027713             0     4.055425
     2.855      5.772068     2.027713             0     4.055425
    2.8646      5.824494     2.027713             0     4.055425
    2.8741      5.866765     2.027713             0     4.055425
    2.8837      5.897445     2.027713             0     4.055425
    2.8933      5.919926     2.027713             0     4.055425
    2.9029      5.936974     2.027713             0     4.055425
    2.9125      5.949699     2.027713             0     4.055425
    2.9221      5.959214     2.027713             0     4.055425
    2.9317      5.966274     2.027713             0     4.055425
    2.9413      5.971424     2.027713             0     4.055425
    2.9509       5.97611     2.027713             0     4.055425
    2.9605      5.980683     2.027713  0.0003762162     4.055425
    2.9701       5.98497     2.027713   0.002426926     4.055425
    2.9797      5.990063     2.027713   0.007203054     4.055425
    2.9893      5.995474     2.027713    0.01744323     4.055425
    2.9989       6.00128     2.027713    0.05377153     4.055425
    3.0085      6.007811     2.027713     0.1408599     4.055425
    3.0181      6.014551     2.027713     0.2805875     4.055425
    3.0277      6.021125     2.027713     0.4690347     4.055425
    3.0373      6.027205     2.027713     0.7145437     4.055425
    3.0469      6.033086     2.027713      1.015927     4.055425
    3.0565      6.038183     2.027713      1.371894     4.055425
    3.0661      6.042335     2.027713      1.755551     4.055425
    3.0757      6.045889     2.027713      2.121395     4.055425
    3.0853       6.04872     2.027713       2.46035     4.055425
    3.0949      6.050901     2.027713      2.739871     4.055425
    3.1045      6.052527     2.027713      2.927918     4.055425
    3.1141       6.05367     2.027713      3.046119     4.055425
    3.1237      6.054477     2.027713      3.119963     4.055425
    3.1333       6.05495     2.027713      3.161131     4.055425
    3.1428       6.05518     2.027713      3.187253     4.055425
