#     'r'     'g11(r)'     'g12(r)'     'g22(r)'
    2.2984             0   0.01117741             0
     2.308             0   0.01173669             0
    2.3176             0  0.009053092             0
    2.3271             0  0.003847963             0
    2.3367             0  0.008268916             0
    2.3463             0  0.003785269             0
    2.3559             0  0.005631741             0
    2.3655             0  0.003103411             0
    2.3751             0  0.005541091             0
    2.3847             0  0.004885853             0
    2.3943             0  0.007875995             0
    2.4039             0   0.00360611             0
    2.4135             0  0.002384994             0
    2.4231             0  0.001774605             0
    2.4327             0  0.001760632             0
    2.4423             0  0.003493646             0
    2.4519             0  0.001155451             0
    2.4615             0  0.001146459             0
    2.4711             0  0.001706358             0
    2.4807             0  0.002257575             0
    2.4903             0 0.0005600522             0
    2.4999   0.001670182  0.003334564             0
    2.5095    0.02541396  0.001103036             0
    2.5191    0.01973794 0.0005473242             0
    2.5287    0.02938261 0.0005431778             0
    2.5383     0.1101632            0             0
    2.5479     0.3633779 0.0005350252             0
    2.5575     0.6707776            0             0
    2.5671      1.565435            0             0
    2.5767      3.711293 0.0005231361             0
    2.5863      5.954319 0.0005192611             0
    2.5958      8.335039            0             0
    2.6054      12.31402            0             0
     2.615      15.27899            0             0
    2.6246      17.62105            0             0
    2.6342      16.96895            0             0
    2.6438      14.03616 0.0004968898             0
    2.6534      10.56218            0             0
     2.663      7.329148            0             0
    2.6726      4.378922 0.0004862425             0
    2.6822      2.445611            0             0
    2.6918      1.269561            0             0
    2.7014     0.6121618            0             0
     2.711     0.1197682            0             0
    2.7206    0.02632327            0             0
    2.7302   0.008868436            0             0
    2.7398    0.01529536            0             0
    2.7494    0.02715568            0             0
     2.759    0.03930798            0             0
    2.7686    0.05083752            0             0
    2.7782    0.08429513            0             0
    2.7878      0.118187            0             0
    2.7974     0.1689524            0             0
     2.807     0.2123984            0             0
    2.8166     0.2561266            0             0
    2.8262     0.3219081            0             0
    2.8358      0.405399            0             0
    2.8454     0.4147018            0             0
     2.855     0.5263167            0             0
    2.8646     0.5800367            0             0
    2.8741     0.6389251            0             0
    2.8837     0.6279857            0             0
    2.8933      0.697805            0             0
    2.9029     0.7121908            0             0
    2.9125     0.7349853            0             0
    2.9221     0.7423895            0             0
    2.9317     0.7205359            0             0
    2.9413     0.6921145            0             0
    2.9509     0.6844239            0             0
    2.9605     0.6788031            0             0
    2.9701     0.6428718            0   0.001580348
    2.9797      0.594457            0    0.03454407
    2.9893     0.5532686            0     0.2761412
    2.9989     0.5149156            0      1.264923
    3.0085     0.4643548            0      2.190274
    3.0181     0.4430725            0      4.355797
    3.0277      0.388271            0      7.718116
    3.0373     0.3394323            0      11.99906
    3.0469     0.2960722            0      15.46613
    3.0565     0.2621874            0      15.45721
