#     'r'     'cord11(r)'     'cord12(r)'     'cord22(r)'     cord21(r)
    1.9721             0     2.024547             0     4.049094
    1.9817             0     2.025142             0     4.050284
    1.9913             0      2.02551             0     4.051021
    2.0009             0     2.025774             0     4.051547
    2.0105             0     2.025952             0     4.051905
    2.0201             0     2.026157             0     4.052315
    2.0297             0     2.026394             0     4.052788
    2.0393             0     2.026631             0     4.053261
    2.0488             0     2.026831             0     4.053661
    2.0584             0      2.02702             0     4.054039
     2.068             0     2.027214             0     4.054429
    2.0776             0     2.027372             0     4.054744
    2.0872             0     2.027483             0     4.054965
    2.0968             0     2.027572             0     4.055144
    2.1064             0     2.027651             0     4.055302
     2.116             0     2.027698             0     4.055396
    2.1256             0     2.027714             0     4.055428
    2.1352             0     2.027719             0     4.055439
    2.1448             0     2.027725             0     4.055449
    2.1544             0     2.027725             0     4.055449
     2.164             0     2.027725             0     4.055449
    2.1736             0     2.027725             0     4.055449
    2.1832             0     2.027725             0     4.055449
    2.1928             0     2.027725             0     4.055449
    2.2024             0     2.027725             0     4.055449
     2.212             0     2.027725             0     4.055449
    2.2216             0     2.027725             0     4.055449
    2.2312             0     2.027725             0     4.055449
    2.2408             0     2.027725             0     4.055449
    2.2504             0     2.027725             0     4.055449
      2.26             0     2.027725             0     4.055449
    2.2696             0     2.027725             0     4.055449
    2.2792             0     2.027725             0     4.055449
    2.2888             0     2.027725             0     4.055449
    2.2984             0     2.027725             0     4.055449
     2.308             0     2.027725             0     4.055449
    2.3176             0     2.027725             0     4.055449
    2.3271             0     2.027725             0     4.055449
    2.3367             0     2.027725             0     4.055449
    2.3463             0     2.027725             0     4.055449
    2.3559             0     2.027725             0     4.055449
    2.3655             0     2.027725             0     4.055449
    2.3751             0     2.027725             0     4.055449
    2.3847             0     2.027725             0     4.055449
    2.3943             0     2.027725             0     4.055449
    2.4039             0     2.027725             0     4.055449
    2.4135             0     2.027725             0     4.055449
    2.4231             0     2.027725             0     4.055449
    2.4327             0     2.027725             0     4.055449
    2.4423             0     2.027725             0     4.055449
    2.4519             0     2.027725             0     4.055449
    2.4615             0     2.027725             0     4.055449
    2.4711             0     2.027725             0     4.055449
    2.4807             0     2.027725             0     4.055449
    2.4903             0     2.027725             0     4.055449
    2.4999             0     2.027725             0     4.055449
    2.5095             0     2.027725             0     4.055449
    2.5191             0     2.027725             0     4.055449
    2.5287             0     2.027725             0     4.055449
    2.5383             0     2.027725             0     4.055449
    2.5479  6.273555e-05     2.027725             0     4.055449
    2.5575   0.001035596     2.027725             0     4.055449
    2.5671   0.005109676     2.027725             0     4.055449
    2.5767    0.02047153     2.027725             0     4.055449
    2.5863     0.0790287     2.027725             0     4.055449
    2.5958     0.2441363     2.027725             0     4.055449
    2.6054      0.623947     2.027725             0     4.055449
     2.615      1.319762     2.027725             0     4.055449
    2.6246      2.257094     2.027725             0     4.055449
    2.6342      3.254621     2.027725             0     4.055449
    2.6438      4.134486     2.027725             0     4.055449
    2.6534      4.723981     2.027725             0     4.055449
     2.663      5.007993     2.027725             0     4.055449
    2.6726      5.110218     2.027725             0     4.055449
    2.6822      5.140092     2.027725             0     4.055449
    2.6918       5.14861     2.027725             0     4.055449
    2.7014      5.150962     2.027725             0     4.055449
     2.711       5.15195     2.027725             0     4.055449
    2.7206      5.152474     2.027725             0     4.055449
    2.7302      5.154379     2.027725             0     4.055449
    2.7398      5.160087     2.027725             0     4.055449
    2.7494      5.172723     2.027725             0     4.055449
     2.759      5.196154     2.027725             0     4.055449
    2.7686      5.233387     2.027725             0     4.055449
    2.7782      5.283275     2.027725             0     4.055449
    2.7878      5.341958     2.027725             0     4.055449
    2.7974      5.405973     2.027725             0     4.055449
     2.807      5.474327     2.027725             0     4.055449
    2.8166      5.546929     2.027725             0     4.055449
    2.8262      5.623106     2.027725             0     4.055449
    2.8358       5.69855     2.027725             0     4.055449
    2.8454      5.767904     2.027725             0     4.055449
     2.855      5.825599     2.027725             0     4.055449
    2.8646      5.869172     2.027725             0     4.055449
    2.8741      5.901163     2.027725             0     4.055449
    2.8837      5.924642     2.027725             0     4.055449
    2.8933       5.94278     2.027725             0     4.055449
    2.9029      5.956346     2.027725             0     4.055449
    2.9125      5.965925     2.027725             0     4.055449
    2.9221      5.971949     2.027725             0     4.055449
    2.9317      5.975454     2.027725             0     4.055449
    2.9413      5.978054     2.027725             0     4.055449
    2.9509        5.9801     2.027725             0     4.055449
    2.9605        5.9823     2.027725             0     4.055449
    2.9701      5.985893     2.027725             0     4.055449
    2.9797      5.991091     2.027725             0     4.055449
    2.9893      5.998227     2.027725  0.0001463017     4.055449
    2.9989      6.007282     2.027725  0.0007115435     4.055449
    3.0085       6.01676     2.027725   0.002825105     4.055449
    3.0181      6.025944     2.027725    0.01648337     4.055449
    3.0277      6.034343     2.027725    0.07411646     4.055449
    3.0373       6.04118     2.027725     0.2432924     4.055449
    3.0469      6.046382     2.027725     0.6481754     4.055449
    3.0565      6.050241     2.027725      1.396201     4.055449
    3.0661      6.052645     2.027725      2.248822     4.055449
    3.0757      6.054018     2.027725      2.815717     4.055449
    3.0853        6.0549     2.027725      3.065866     4.055449
    3.0949      6.055215     2.027725      3.162509     4.055449
    3.1045      6.055382     2.027725      3.196387     4.055449
    3.1141      6.055487     2.027725      3.204827     4.055449
    3.1237      6.055519     2.027725      3.207369     4.055449
    3.1333      6.055529     2.027725      3.208751     4.055449
    3.1428      6.055529     2.027725      3.211222     4.055449
    3.1524      6.055529     2.027725      3.216142     4.055449
     3.162      6.055529     2.027725      3.226047     4.055449
    3.1716      6.055529     2.027725      3.243619     4.055449
    3.1812      6.055529     2.027725      3.270057     4.055449
    3.1908      6.055529     2.027725      3.304439     4.055449
    3.2004      6.055529     2.027725      3.344298     4.055449
      3.21      6.055529     2.027725      3.390623     4.055449
    3.2196      6.055529     2.027725      3.450682     4.055449
    3.2292      6.055529     2.027725      3.522266     4.055449
    3.2388      6.055529     2.027725      3.597374     4.055449
    3.2484      6.055529     2.027725      3.669666     4.055449
     3.258      6.055529     2.027725      3.732844     4.055449
    3.2676      6.055634     2.027725      3.786066     4.055449
    3.2772      6.056146     2.027725      3.830692     4.055449
    3.2868      6.057622     2.027725      3.868442     4.055449
    3.2964      6.066268     2.027725      3.899424     4.055449
     3.306       6.10133     2.027725        3.9242     4.055449
    3.3156      6.197621     2.027725      3.943988     4.055449
    3.3252       6.36336     2.027725       3.95858     4.055449
    3.3348      6.554121     2.027725      3.969061     4.055449
    3.3444      6.702949     2.027725      3.976233     4.055449
     3.354      6.786272     2.027725      3.981053     4.055449
    3.3636      6.834247     2.027725      3.985181     4.055449
    3.3732      6.886987     2.027725       3.98935     4.055449
    3.3828      6.983082     2.027725      3.993479     4.055449
    3.3924      7.184632     2.027725       3.99725     4.055449
     3.402      7.536268     2.027725      4.001167     4.055449
    3.4116      7.931481     2.027725      4.005357     4.055449
    3.4211      8.208724     2.027725      4.009276     4.055449
    3.4307      8.349073     2.027725       4.01265     4.055449
    3.4403      8.412565     2.027725      4.015583     4.055449
    3.4499      8.438059     2.027808      4.018014     4.055616
    3.4595      8.451157     2.028446      4.020172     4.056892
    3.4691      8.463003     2.029838      4.022016     4.059676
    3.4787      8.474568     2.035875      4.023483      4.07175
    3.4883        8.4866     2.057787       4.02474     4.115573
    3.4979      8.504737     2.115923      4.025663     4.231846
    3.5075      8.532481     2.259787      4.026521     4.519574
    3.5171      8.566338     2.544266      4.027464     5.088532
    3.5267      8.603817        2.916       4.02849     5.831999
    3.5363      8.647292     3.239022      4.029517     6.478044
    3.5459      8.722394     3.437925      4.030271      6.87585
    3.5555      8.882415     3.532366      4.030983     7.064731
    3.5651       9.16574     3.573188      4.031654     7.146375
    3.5747      9.578532     3.592193      4.032135     7.184386
    3.5843      10.09296     3.606159      4.032471     7.212318
    3.5939      10.55708     3.629205      4.032639      7.25841
    3.6035      10.85605     3.684944      4.032702     7.369889
    3.6131      11.02239      3.79963      4.032785     7.599261
    3.6227       11.1034     3.984313      4.032848     7.968626
    3.6323       11.1421     4.182487      4.032869     8.364974
    3.6419      11.16198     4.325307       4.03289     8.650615
    3.6515      11.17373     4.407056       4.03289     8.814113
    3.6611      11.18318     4.453264       4.03289     8.906527
    3.6707      11.19377     4.483748       4.03289     8.967496
    3.6803      11.20819     4.504833       4.03289     9.009666
    3.6898      11.22803     4.524197       4.03289     9.048395
    3.6994      11.25751     4.546359       4.03289     9.092718
     3.709      11.30288      4.57215       4.03289     9.144299
    3.7186      11.36771     4.598778       4.03289     9.197556
    3.7282      11.44807     4.623246       4.03289     9.246492
    3.7378      11.52569     4.643393       4.03289     9.286786
    3.7474      11.58649     4.659823       4.03289     9.319646
     3.757       11.6304     4.675888       4.03289     9.351776
    3.7666      11.66473     4.694284       4.03289     9.388569
    3.7762      11.69819     4.717342       4.03289     9.434684
    3.7858      11.73647     4.745599       4.03289     9.491198
    3.7954      11.78002     4.779778       4.03289     9.559556
     3.805      11.82383     4.818899       4.03289     9.637798
    3.8146      11.86381     4.857963       4.03289     9.715927
    3.8242      11.89777     4.891798       4.03289     9.783597
    3.8338      11.92519     4.918471       4.03289     9.836943
    3.8434      11.94854     4.939499       4.03289     9.878997
     3.853      11.97164     4.958561       4.03289     9.917123
    3.8626      11.99515     4.984189       4.03289     9.968377
    3.8722      12.01689     5.031531       4.03289     10.06306
    3.8818      12.03534     5.122614       4.03289     10.24523
    3.8914      12.05034     5.280745       4.03289     10.56149
     3.901      12.06264     5.488332       4.03289     10.97666
    3.9106      12.07253     5.656968       4.03289     11.31394
    3.9202      12.08032     5.740958       4.03289     11.48192
    3.9298      12.08609     5.777839       4.03289     11.55568
    3.9394      12.09015     5.798554       4.03289     11.59711
     3.949      12.09349     5.814059       4.03289     11.62812
    3.9585      12.09628      5.83208       4.03289     11.66416
    3.9681      12.09812     5.869489       4.03289     11.73898
