# x,y,z,sp,vx,vy,vz,m
3.516630969476942870e+00,1.157099915254432343e+00,-6.238719189057243542e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.600000000000000000e+01
1.135040005067162294e+00,6.492400577972084363e+00,8.972325442798736006e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.800000000000000000e+01
1.156270052243945523e+00,2.028893825805140327e+00,7.208133425926410709e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.800000000000000000e+01
3.600622231218437719e+00,2.264240604214416752e+00,9.029804203127076434e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.800000000000000000e+01
3.614393376242244216e+00,6.267731202411575886e+00,7.169866802546002837e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.800000000000000000e+01
1.372835702498878541e-01,4.216039724263551669e+00,5.402350814581373228e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.800000000000000000e+01
2.601040751507027515e+00,-4.865225817422636628e-02,5.344971985310870366e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.800000000000000000e+01
1.693793170633900225e+00,7.905770150925103934e+00,9.675116886749938416e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.600000000000000000e+01
1.660146701349246134e+00,6.119067501588952851e-01,6.525391258495487179e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.600000000000000000e+01
4.170751741881025154e+00,3.613988621583732019e+00,9.641310469706507291e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.600000000000000000e+01
2.140369705463296413e+00,6.019949792637135033e+00,7.852834789533158499e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.600000000000000000e+01
1.082496183193339956e+00,3.133657946196417576e+00,6.044822480184320668e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.600000000000000000e+01
4.113161266432296514e+00,4.879188063601621828e+00,6.549701958025929471e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.600000000000000000e+01
1.085177525120583519e+00,5.470899868068609173e+00,4.760050623023393435e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.600000000000000000e+01
2.180631088445901256e+00,2.518585293963814475e+00,8.369178296159601516e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.600000000000000000e+01
3.559779647461472685e+00,7.376535146130263954e+00,6.013484452403392133e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.600000000000000000e+01
4.610268027891454956e+00,6.776735054190806906e+00,8.357829940606764652e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.600000000000000000e+01
4.638014241805137772e+00,1.773502377245350869e+00,7.901993726860414569e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.600000000000000000e+01
3.534883101147468842e+00,1.109640736625949309e+00,4.773374342734814313e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.600000000000000000e+01
1.174187548999554354e+00,6.500167927356613973e+00,-7.212268513767640776e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.800000000000000000e+01
1.154229122699150345e+00,1.974198236454092870e+00,-9.005332685783349334e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.800000000000000000e+01
3.603150224184850980e+00,2.270516454084559044e+00,-7.194129398149543775e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.800000000000000000e+01
3.605670762825949449e+00,6.242436971489037312e+00,-9.016588632218340393e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.800000000000000000e+01
1.639358825320070545e-01,4.254515871774982472e+00,-1.082858647345622849e+01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.800000000000000000e+01
2.637646998840911028e+00,-9.362811611937497600e-03,-1.084113717530854970e+01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.800000000000000000e+01
1.661906897127512828e+00,7.908433274613549280e+00,-6.588663687913427935e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.600000000000000000e+01
1.695422868772932024e+00,6.123920360748599245e-01,-9.692516684576524710e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.600000000000000000e+01
4.163986627094574899e+00,3.607700358996916101e+00,-6.566989491790240940e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.600000000000000000e+01
2.130073820943077845e+00,5.990625538923669779e+00,-8.411050976351404529e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.600000000000000000e+01
1.082340499915257270e+00,3.086313540720740711e+00,-1.018664122200295097e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.600000000000000000e+01
4.129024255207760064e+00,4.861654899470659430e+00,-9.648067091753912194e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.600000000000000000e+01
